store_id,store_name,store_type,channel,region,state,city,store_size_sqft,opening_date
S00001,FreshMart Chhattisgarh Plaza,Flagship,Hypermarket,Central,Chhattisgarh,Chhattisgarh Plaza,56682,2023-01-01
S00002,UrbanKart Madhya South,Standard,Convenience,Central,Madhya Pradesh,Madhya South,572,2023-01-01
S00003,FreshMart Rajasthan South,Flagship,Hypermarket,North,Rajasthan,Rajasthan South,31534,2023-01-01
S00004,UrbanKart Gujarat Park,Standard,Supermarket,West,Gujarat,Gujarat Park,9898,2023-01-01
S00005,QuickShop Goa Plaza,Standard,Convenience,West,Goa,Goa Plaza,2154,2023-01-01
S00006,Metro Madhya Market,Standard,Supermarket,Central,Madhya Pradesh,Madhya Market,17672,2023-01-01
S00007,UrbanKart Haryana East,Standard,Convenience,North,Haryana,Haryana East,1188,2023-01-01
S00008,UrbanKart Delhi Plaza,Standard,Convenience,North,Delhi,Delhi Plaza,966,2023-01-01
S00009,Metro Jharkhand Central,Standard,Convenience,East,Jharkhand,Jharkhand Central,2241,2023-01-01
S00010,FreshMart Rajasthan West,Standard,Convenience,North,Rajasthan,Rajasthan West,1923,2023-01-01
S00011,UrbanKart Haryana South,Flagship,Wholesale,North,Haryana,Haryana South,39706,2023-01-01
S00012,QuickShop Tamil Market,Standard,Supermarket,South,Tamil Nadu,Tamil Market,19531,2023-01-01
S00013,Metro Jharkhand Central,Standard,Convenience,East,Jharkhand,Jharkhand Central,1283,2023-01-01
S00014,UrbanKart Goa Market,Standard,Supermarket,West,Goa,Goa Market,11914,2023-01-01
S00015,UrbanKart Rajasthan Central,Standard,E-commerce,North,Rajasthan,Rajasthan Central,0,2023-01-01
S00016,FreshMart Andhra West,Standard,Convenience,South,Andhra Pradesh,Andhra West,1075,2024-03-23
S00017,FreshMart Tamil Plaza,Standard,Supermarket,South,Tamil Nadu,Tamil Plaza,14633,2023-01-01
S00018,GreenGrocer Tamil Plaza,Standard,Supermarket,South,Tamil Nadu,Tamil Plaza,18127,2023-01-01
S00019,GreenGrocer Tamil South,Standard,Supermarket,South,Tamil Nadu,Tamil South,17046,2023-01-01
S00020,GreenGrocer Assam East,Standard,Convenience,East,Assam,Assam East,567,2023-01-01
S00021,Metro Karnataka North,Flagship,Hypermarket,South,Karnataka,Karnataka North,43612,2023-01-01
S00022,GreenGrocer Assam North,Flagship,Hypermarket,East,Assam,Assam North,42766,2023-01-01
S00023,FreshMart Rajasthan South,Standard,E-commerce,North,Rajasthan,Rajasthan South,0,2023-01-01
S00024,Metro Karnataka South,Standard,E-commerce,South,Karnataka,Karnataka South,0,2023-01-01
S00025,ValueBazaar Telangana East,Standard,E-commerce,South,Telangana,Telangana East,1,2024-02-20
S00026,ValueBazaar Haryana Market,Flagship,Hypermarket,North,Haryana,Haryana Market,53564,2023-01-01
S00027,FreshMart Telangana East,Standard,E-commerce,South,Telangana,Telangana East,1,2023-01-01
S00028,QuickShop Uttar Park,Standard,Supermarket,North,Uttar Pradesh,Uttar Park,14918,2023-01-01
S00029,FreshMart Delhi Park,Standard,E-commerce,North,Delhi,Delhi Park,0,2023-01-01
S00030,QuickShop Delhi North,Flagship,Wholesale,North,Delhi,Delhi North,23458,2023-01-01
S00031,GreenGrocer Gujarat East,Standard,Convenience,West,Gujarat,Gujarat East,1741,2023-01-01
S00032,QuickShop Maharashtra Plaza,Standard,Convenience,West,Maharashtra,Maharashtra Plaza,1606,2023-01-01
S00033,GreenGrocer Bihar Park,Standard,Supermarket,East,Bihar,Bihar Park,13809,2023-04-26
S00034,ValueBazaar Kerala North,Flagship,Wholesale,South,Kerala,Kerala North,33705,2023-01-01
S00035,Metro Odisha Market,Standard,Supermarket,East,Odisha,Odisha Market,14259,2023-01-01
S00036,GreenGrocer Rajasthan Park,Standard,E-commerce,North,Rajasthan,Rajasthan Park,0,2023-01-01
S00037,Metro Telangana Plaza,Standard,Supermarket,South,Telangana,Telangana Plaza,18763,2023-01-01
S00038,UrbanKart Jharkhand Park,Standard,Supermarket,East,Jharkhand,Jharkhand Park,9696,2023-01-01
S00039,GreenGrocer West Junction,Flagship,Wholesale,East,West Bengal,West Junction,20174,2023-01-01
S00040,UrbanKart Telangana Plaza,Standard,Convenience,South,Telangana,Telangana Plaza,926,2023-01-01
S00041,Metro Goa South,Standard,Convenience,West,Goa,Goa South,874,2023-01-01
S00042,UrbanKart Punjab Plaza,Standard,Convenience,North,Punjab,Punjab Plaza,692,2023-01-01
S00043,UrbanKart Gujarat West,Flagship,Hypermarket,West,Gujarat,Gujarat West,47747,2023-10-08
S00044,GreenGrocer Andhra West,Standard,Supermarket,South,Andhra Pradesh,Andhra West,13447,2023-01-01
S00045,UrbanKart Delhi Park,Standard,Convenience,North,Delhi,Delhi Park,1575,2023-01-01
S00046,UrbanKart Delhi Park,Standard,Supermarket,North,Delhi,Delhi Park,7700,2023-01-01
S00047,FreshMart Tamil South,Standard,E-commerce,South,Tamil Nadu,Tamil South,1,2023-01-01
S00048,QuickShop Haryana Plaza,Standard,Supermarket,North,Haryana,Haryana Plaza,8124,2023-01-01
S00049,Metro Gujarat West,Standard,Convenience,West,Gujarat,Gujarat West,746,2023-01-01
S00050,QuickShop Punjab North,Standard,Convenience,North,Punjab,Punjab North,1511,2023-01-01
S00051,QuickShop Punjab Park,Standard,E-commerce,North,Punjab,Punjab Park,1,2023-01-01
S00052,ValueBazaar Goa Central,Standard,Supermarket,West,Goa,Goa Central,15661,2023-04-15
S00053,FreshMart Kerala Market,Flagship,Wholesale,South,Kerala,Kerala Market,39665,2023-01-01
S00054,Metro Kerala Market,Standard,Supermarket,South,Kerala,Kerala Market,19016,2023-01-01
S00055,FreshMart Karnataka West,Standard,Supermarket,South,Karnataka,Karnataka West,6411,2023-01-01
S00056,GreenGrocer Delhi Plaza,Flagship,Wholesale,North,Delhi,Delhi Plaza,40994,2023-01-01
S00057,FreshMart West Central,Standard,Convenience,East,West Bengal,West Central,591,2023-01-01
S00058,QuickShop Karnataka South,Standard,Convenience,South,Karnataka,Karnataka South,1891,2023-01-01
S00059,GreenGrocer Punjab Park,Standard,Convenience,North,Punjab,Punjab Park,1426,2023-01-01
S00060,Metro Chhattisgarh Market,Standard,E-commerce,Central,Chhattisgarh,Chhattisgarh Market,1,2023-01-01
S00061,QuickShop Odisha Market,Standard,Convenience,East,Odisha,Odisha Market,1962,2023-01-01
S00062,Metro Haryana Park,Flagship,Hypermarket,North,Haryana,Haryana Park,58236,2024-06-18
S00063,UrbanKart Karnataka Central,Standard,Convenience,South,Karnataka,Karnataka Central,1720,2023-01-01
S00064,Metro Assam South,Standard,Convenience,East,Assam,Assam South,876,2023-01-01
S00065,UrbanKart Tamil South,Standard,Convenience,South,Tamil Nadu,Tamil South,1387,2023-01-01
S00066,UrbanKart Haryana West,Standard,Convenience,North,Haryana,Haryana West,2384,2023-01-01
S00067,Metro Uttar West,Standard,Supermarket,North,Uttar Pradesh,Uttar West,9051,2023-01-01
S00068,ValueBazaar Andhra Central,Standard,E-commerce,South,Andhra Pradesh,Andhra Central,0,2023-01-01
S00069,UrbanKart Goa East,Flagship,Wholesale,West,Goa,Goa East,20461,2023-01-01
S00070,QuickShop Rajasthan Park,Standard,E-commerce,North,Rajasthan,Rajasthan Park,1,2023-01-01
S00071,FreshMart Jharkhand West,Flagship,Wholesale,East,Jharkhand,Jharkhand West,35912,2023-02-06
S00072,FreshMart Haryana East,Standard,Supermarket,North,Haryana,Haryana East,19958,2023-09-14
S00073,Metro Andhra North,Standard,Convenience,South,Andhra Pradesh,Andhra North,1375,2023-01-01
S00074,FreshMart Tamil Park,Standard,Convenience,South,Tamil Nadu,Tamil Park,1136,2023-01-01
S00075,Metro Haryana Park,Flagship,Wholesale,North,Haryana,Haryana Park,26773,2023-01-01
S00076,QuickShop Telangana East,Standard,Supermarket,South,Telangana,Telangana East,19485,2023-01-01
S00077,ValueBazaar Tamil Central,Flagship,Hypermarket,South,Tamil Nadu,Tamil Central,50584,2023-01-01
S00078,Metro Kerala Market,Standard,Convenience,South,Kerala,Kerala Market,2392,2023-01-01
S00079,QuickShop Karnataka Market,Standard,Convenience,South,Karnataka,Karnataka Market,2240,2023-01-01
S00080,Metro Goa South,Standard,E-commerce,West,Goa,Goa South,0,2023-01-01
S00081,FreshMart Maharashtra Market,Flagship,Hypermarket,West,Maharashtra,Maharashtra Market,56244,2023-01-01
S00082,QuickShop Andhra Junction,Flagship,Hypermarket,South,Andhra Pradesh,Andhra Junction,32163,2023-01-01
S00083,UrbanKart Chhattisgarh Park,Standard,Convenience,Central,Chhattisgarh,Chhattisgarh Park,2275,2023-01-01
S00084,Metro Kerala Central,Standard,Convenience,South,Kerala,Kerala Central,1599,2023-01-01
S00085,GreenGrocer Goa Plaza,Standard,Supermarket,West,Goa,Goa Plaza,11003,2023-01-01
