product_id,product_name,brand,category,subcategory,pack_size,unit_cost,base_price,launch_date,discontinue_date,product_status
P00001,Ember Fresh Carbonated 6-pack,Ember Fresh,Beverages,Carbonated,6-pack,70.66,101.75,2023-01-01,,Active
P00002,Cascade Gold Energy 6-pack,Cascade Gold,Beverages,Energy,6-pack,47.13,66.73,2024-12-16,,Launched
P00003,Crest Naturals Water 250ml,Crest Naturals,Beverages,Water,250ml,24.57,37.95,2023-01-01,,Active
P00004,Cascade Gold Water 500ml,Cascade Gold,Beverages,Water,500ml,22.53,36.04,2023-01-01,,Active
P00005,Crest Naturals Water 100g,Crest Naturals,Beverages,Water,100g,59.77,101.25,2023-04-24,,Launched
P00006,Ember Fresh Juice 500ml,Ember Fresh,Beverages,Juice,500ml,16.54,24.18,2023-01-01,,Active
P00007,Cascade Select Energy 1L,Cascade Select,Beverages,Energy,1L,73.55,110.44,2025-01-20,,Launched
P00008,Cascade Gold Water 250ml,Cascade Gold,Beverages,Water,250ml,29.65,44.86,2023-01-01,,Active
P00009,Ember Fresh Tea & Coffee 1kg,Ember Fresh,Beverages,Tea & Coffee,1kg,80.84,134.39,2023-01-01,,Active
P00010,Ember Fresh Energy 1kg,Ember Fresh,Beverages,Energy,1kg,67.31,107.52,2023-07-26,,Launched
P00011,Cascade Gold Carbonated 500g,Cascade Gold,Beverages,Carbonated,500g,17.27,26.41,2023-01-01,,Active
P00012,Cascade Select Water 500ml,Cascade Select,Beverages,Water,500ml,71.93,117.69,2023-01-01,,Active
P00013,Crest Naturals Water 1L,Crest Naturals,Beverages,Water,1L,55.83,81.29,2023-01-01,,Active
P00014,Cascade Select Water 200g,Cascade Select,Beverages,Water,200g,48.96,72.01,2023-01-01,,Active
P00015,Ember Fresh Energy 100g,Ember Fresh,Beverages,Energy,100g,56.33,98.15,2023-01-01,,Active
P00016,Crest Naturals Carbonated 1kg,Crest Naturals,Beverages,Carbonated,1kg,76.78,133.34,2023-08-09,,Launched
P00017,Ember Fresh Water 2L,Ember Fresh,Beverages,Water,2L,74.64,104.63,2023-01-01,,Active
P00018,Cascade Pro Tea & Coffee 200g,Cascade Pro,Beverages,Tea & Coffee,200g,68.38,109.13,2023-01-01,,Active
P00019,Cascade Gold Water 1kg,Cascade Gold,Beverages,Water,1kg,67.53,119.74,2023-01-01,,Active
P00020,Cascade Pro Energy 500ml,Cascade Pro,Beverages,Energy,500ml,75.92,124.36,2023-01-01,,Active
P00021,Ember Fresh Water 500ml,Ember Fresh,Beverages,Water,500ml,60.82,100.49,2023-01-01,,Active
P00022,Crest Naturals Energy 500ml,Crest Naturals,Beverages,Energy,500ml,31.3,53.29,2023-01-01,,Active
P00023,Cascade Pro Carbonated 6-pack,Cascade Pro,Beverages,Carbonated,6-pack,50.36,88.85,2023-01-01,,Active
P00024,Ember Fresh Tea & Coffee 2L,Ember Fresh,Beverages,Tea & Coffee,2L,62.49,111.19,2023-01-01,,Active
P00025,Cascade Select Energy 1kg,Cascade Select,Beverages,Energy,1kg,69.01,105.36,2023-01-01,,Active
P00026,Cascade Select Carbonated 100g,Cascade Select,Beverages,Carbonated,100g,12.44,19.1,2023-01-01,,Active
P00027,Cascade Pro Water 250ml,Cascade Pro,Beverages,Water,250ml,61.66,89.64,2023-01-01,,Active
P00028,Crest Naturals Juice 500ml,Crest Naturals,Beverages,Juice,500ml,36.69,52.48,2023-01-01,,Active
P00029,Ember Fresh Juice 500g,Ember Fresh,Beverages,Juice,500g,59.55,95.53,2023-01-01,,Active
P00030,Ember Fresh Juice 200g,Ember Fresh,Beverages,Juice,200g,62.41,89.48,2023-01-01,,Active
P00031,Crest Naturals Energy 1kg,Crest Naturals,Beverages,Energy,1kg,70.97,127.55,2023-01-01,,Active
P00032,Ember Fresh Carbonated 200g,Ember Fresh,Beverages,Carbonated,200g,46.15,65.06,2023-01-01,,Active
P00033,Ember Fresh Tea & Coffee 1L,Ember Fresh,Beverages,Tea & Coffee,1L,29.4,43.76,2023-01-01,,Active
P00034,Cascade Select Tea & Coffee 2L,Cascade Select,Beverages,Tea & Coffee,2L,34.43,47.97,2023-01-01,,Active
P00035,Crest Naturals Energy 250ml,Crest Naturals,Beverages,Energy,250ml,78.83,119.2,2023-01-01,,Active
P00036,Crest Naturals Energy 250ml,Crest Naturals,Beverages,Energy,250ml,63.92,92.3,2023-01-01,,Active
P00037,Cascade Select Carbonated 1kg,Cascade Select,Beverages,Carbonated,1kg,78.63,138.97,2023-01-01,,Active
P00038,Crest Naturals Juice 6-pack,Crest Naturals,Beverages,Juice,6-pack,28.67,46.81,2023-01-01,,Active
P00039,Crest Naturals Carbonated 100g,Crest Naturals,Beverages,Carbonated,100g,47.81,67.48,2023-01-01,,Active
P00040,Cascade Select Tea & Coffee 1kg,Cascade Select,Beverages,Tea & Coffee,1kg,55.08,78.31,2023-01-01,,Active
P00041,Cascade Gold Tea & Coffee 1kg,Cascade Gold,Beverages,Tea & Coffee,1kg,86.36,126.07,2023-01-01,,Active
P00042,Cascade Select Water 250ml,Cascade Select,Beverages,Water,250ml,26.23,42.8,2023-01-01,,Active
